tweet_id,text,predicted_intent,decision,reply,human_overall
1747392,@AppleSupport How do I️ stop this insanity? Typing an “I️” sometimes changes to this... or some other character. https://t.co/MMoh0d30FR,keyboard_input_issue,AUTO-HANDLE,Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/uQeXsr9Kz9,4
2646291,hello you like stole $20 from me by taking away my purchases and not letting me play them. fix it thank yew! @AppleSupport https://t.co/rAQwFrDWtG,account_purchase_issue,ESCALATE,Let's help get this resolved. DM us what happens when you try to play your music and we can go from there together. https://t.co/GDrqU2kzhr,3
2926465,"You can never ever turn off the WiFi in iOS 11, I just want to save battery when I’m outside and sure that no available WiFi to connect.  Why so stupid... I think I need to buy a new Android device. 🤮@115858",battery_issue,AUTO-HANDLE,You can fully turn off Wi-Fi from Settings &gt; Wi-Fi on your iPhone.,2
807896,All my text messages are gone!!!!!! WTF @115858 ?!?!?,app_media_issue,ESCALATE,We’re happy to help. Which device are you using? How long ago did this occur? Let us know via DM. We’ll keep moving from there. https://t.co/GDrqU22YpT,4
2020176,When will eye be able to type the letter eye without have to worry about it autocorrect to I️ @AppleSupport,keyboard_input_issue,AUTO-HANDLE,"We have a workaround for this, check it out here: https://t.co/xXaXeeSRt9 Did that help?",4
332820,"@AppleSupport (And I've lost predictive text...)

How can I clear this? https://t.co/AGhPDF00pU",keyboard_input_issue,AUTO-HANDLE,We'd like to help you out. We have a workaround for this here: https://t.co/xXaXefaskH DM us if you still need help. https://t.co/GDrqU2kzhr,4
1152822,@115858 how can you send a brand new Apple Watch series 3 that has been used? I waited nearly 4 weeks only to be disappointed 😔,general_support,ESCALATE,Thanks for reaching out. We're here to help. DM us so we can look into this further with you. https://t.co/GDrqU22YpT,3
2773177,Who can help :) I need buy for our customer In my area Czech Republic new @115858 Iphone X 256 silver,general_support,ESCALATE,"Hey Jake, we'd like to help you look into this. Let us know via DM where you ordered the iPhone and we'll get started. https://t.co/GDrqU22YpT",3
267331,@AppleSupport iPhone 7,general_support,AUTO-HANDLE,Which version of iOS 11 is your device currently running?,3
2347537,alright na @AppleSupport @115858 this shit getting outta hand i️ thought it was just on the upper case i not the lower case too😤,general_support,ESCALATE,We'd like to look into this more with you. Could you join us in DM with more details? https://t.co/GDrqU22YpT,2
