tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id,intent,escalate,escalation_reason
968702,349954,True,Wed Oct 11 16:13:48 +0000 2017,@AppleSupport iOS 11 has destroyed my phone,968701,,battery_issue,True,
1752124,527864,True,Tue Oct 17 20:55:51 +0000 2017,@AppleSupport Thank you! Only happens with earphones in. I'm due to upgrade to 11.0.3 (will do asap). I pause &amp; fully close app &amp; it'll still play! 😅,1752122,1752125.0,app_issue,False,
1734382,523743,True,Wed Nov 08 00:46:18 +0000 2017,@AppleSupport 7s,1734384,1734381.0,app_issue,False,
1526153,473968,True,Fri Nov 03 17:18:40 +0000 2017,SEE WHAT I MEAN @AppleSupport @115858  THE UPDATE IS REPLACING MY “I” WITH QUESTION MARKS !!! https://t.co/uKKbLRBTAw,1526152,,account_access_issue,False,
1658705,506079,True,Mon Nov 06 02:56:31 +0000 2017,@115858 my phone freezes &amp; glitches multiple times a day since the software update. I’ve never considered switching phones until now. Plz fix,1658704,,account_access_issue,False,
1136304,196525,True,Sun Oct 15 14:31:46 +0000 2017,@115858 so u gonna tell me y my phone wont turn on at all..,1136302,,general_support,False,
1362587,437263,True,Fri Oct 27 18:37:41 +0000 2017,".@115858 this update has wrecked my Iphone6. You should be giving me an iPhonex. Please, advise me of my options before my phone crashes.",1362586,,general_support,True,
1718282,520266,True,Mon Nov 06 23:46:31 +0000 2017,@AppleSupport how do I️ fix the I️ bug it’s driving me crazy!,1718281,,general_support,True,
1516661,471877,True,Tue Oct 17 00:17:37 +0000 2017,Pior coisa q eu fiz na vida foi tee atualizado meu celular pro ios 11. @115858 @AppleSupport by the grace of god help me,"1516660,1516662",,general_support,True,
2577693,730848,True,Fri Nov 10 19:56:49 +0000 2017,"@AppleSupport how do we clear history in maps on iOS 11.1.1? old house location keeps showing up, I swipe left and only get a share button and no remove, help.",2577690,,general_support,True,
1033264,364465,True,Sun Oct 15 12:43:07 +0000 2017,@AppleSupport Yes updated the latest version.but still the same,1033265,1033263.0,general_support,True,
2310378,670064,True,Mon Nov 13 03:29:33 +0000 2017,Fix this shit now 😡😡😡 @115858. I didn’t pay all this money for a phone to be acting tf up with an “update”.,2310377,,general_support,True,
2942196,812879,True,Wed Nov 29 06:05:07 +0000 2017,my phone has been acting up ever since i updated it smh @115858 you better quit playin,2942195,,ios_update_issue,False,
2033047,601164,True,Tue Nov 07 13:22:47 +0000 2017,@115858 love when all the convenience of the iPad Pro for art is killed in one update #iOS11sucks,2033046,,photos_media_issue,False,
2736457,766832,True,Mon Nov 20 19:49:19 +0000 2017,my headphones broke AGAIN @AppleSupport i won’t be a victim,2736456,,ios_update_issue,True,
2646291,746616,True,Fri Nov 17 21:27:16 +0000 2017,hello you like stole $20 from me by taking away my purchases and not letting me play them. fix it thank yew! @AppleSupport https://t.co/rAQwFrDWtG,2646290,,ios_update_issue,False,
328079,194215,True,Sat Oct 07 14:43:04 +0000 2017,"@AppleSupport that itunes performance on windows is horrible... i don't bought apple music to wait 1 min while opening itunes... 
 1/2","328080,328078",,battery_issue,True,
199378,162996,True,Wed Oct 04 11:15:09 +0000 2017,.@AppleSupport What’s the problem with #battery percentage in #iOS11 ?,199377,,ios_update_issue,False,
633775,270228,True,Wed Nov 22 14:39:27 +0000 2017,"@AppleSupport my phone isn’t letting me airdrop, tapping the airdrop button but nothing is happening?",633774,,ios_update_issue,False,
53540,128098,True,Wed Nov 01 19:17:13 +0000 2017,"@AppleSupport Watch 4.1, Iphone 11.1..I restarted and re-enabled/disabled notifications via watch app.",53542,53539.0,general_support,False,
2143268,630134,True,Wed Nov 08 19:47:37 +0000 2017,@115858 y’all really gotta fix this keyboard glitch,2143267,,hardware_charging_issue,False,
1959552,581270,True,Mon Oct 30 21:08:59 +0000 2017,@115858 my mother in law got an email from apple about her Apple ID and I’m not sure if it’s original could you help me I have a screen shot.,1959551,,keyboard_issue,False,
2237372,389190,True,Fri Nov 10 15:05:22 +0000 2017,@AppleSupport where is the setting to get the podcast app to play the next podcasts continuously? ios11.1,2237371,,app_issue,False,
1771536,485313,True,Wed Nov 08 01:11:17 +0000 2017,"between @115858 and @115714, my phone and phone service is super janky. 🤧😡","1771535,1771537",,ios_update_issue,False,
2834595,150981,True,Sun Nov 12 13:06:27 +0000 2017,Another update issue I’m finding is when I open the camera I don’t want the live option on. So I’ve gone to setting and turned it off but when I go onto my camera every time I still have to turn it off. @AppleSupport,2834594,,ios_update_issue,False,
2789822,778688,True,Fri Nov 10 15:35:45 +0000 2017,@AppleSupport i have no verified icloud devices so i can’t verify my phone or computer. help,2789821,,photos_media_issue,False,
2675367,753068,True,Tue Oct 31 13:34:39 +0000 2017,"@AppleSupport I haven’t tried that , but if I look at them from “photos” they appear blurry and unclear with this “!” At the side",2675369,2675366.0,account_access_issue,False,
2906759,804895,True,Tue Nov 28 19:45:05 +0000 2017,@AppleSupport I am having issue with my MacBook please check your DM,2906758,,ios_update_issue,False,
1677885,510350,True,Mon Nov 06 06:38:22 +0000 2017,@AppleSupport is this legitimate? I’ve been receiving voicemails on a landline that there has been a security breach on my Apple devices https://t.co/qJEngsau0e,1677884,,account_access_issue,False,
2487171,710380,True,Wed Nov 15 15:27:49 +0000 2017,@115858 I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ really wish you would fix this bug.,2487170,,keyboard_issue,True,
2926465,809693,True,Wed Nov 29 03:47:45 +0000 2017,"You can never ever turn off the WiFi in iOS 11, I just want to save battery when I’m outside and sure that no available WiFi to connect.  Why so stupid... I think I need to buy a new Android device. 🤮@115858",2926463,,ios_update_issue,True,
1748772,527113,True,Tue Nov 07 12:53:35 +0000 2017,"@AppleSupport thanks for the new update,my phone now freezes all the time,if your playing you tube the video freezes and the phone jams.",1748770,,ios_update_issue,True,
2444196,700836,True,Wed Nov 15 00:04:40 +0000 2017,"@115858 Now my phone is slow, wont connect to wifi, kicks me out of my apps, &amp; freezes but you want to tell me that this has nothing to do with dropping the new phone?  i just got this IPhone 7 a few months ago, people won’t go to your products if you continue messing with them.",2444195,,ios_update_issue,False,
2686608,755500,True,Sun Nov 19 14:00:34 +0000 2017,@AppleSupport 11.1.1,2686610,2686607.0,ios_update_issue,False,
1411736,448114,True,Sat Oct 28 19:04:57 +0000 2017,@AppleSupport iPhone X order reservation not found. Spent 1.5 hours w/ 800-MY-APPLE. Unable to resolve. Deadline 3pm E.😟 No phone for me?,"1411737,1411734",,ios_update_issue,False,
