text,intent,escalate,escalation_reason,reviewed
@AppleSupport iOS 11 has destroyed my phone,ios_update_issue,False,,True
@AppleSupport Thank you! Only happens with earphones in. I'm due to upgrade to 11.0.3 (will do asap). I pause &amp; fully close app &amp; it'll still play! 😅,keyboard_input_issue,False,,True
@AppleSupport 7s,general_support,False,,True
SEE WHAT I MEAN @AppleSupport @115858  THE UPDATE IS REPLACING MY “I” WITH QUESTION MARKS !!! https://t.co/uKKbLRBTAw,keyboard_input_issue,False,,True
@115858 my phone freezes &amp; glitches multiple times a day since the software update. I’ve never considered switching phones until now. Plz fix,ios_update_issue,False,,True
@115858 so u gonna tell me y my phone wont turn on at all..,hardware_device_issue,True,Device will not turn on and may require human troubleshooting.,True
".@115858 this update has wrecked my Iphone6. You should be giving me an iPhonex. Please, advise me of my options before my phone crashes.",ios_update_issue,True,Customer reports serious problems after an update and is requesting replacement/upgrade options.,True
@AppleSupport how do I️ fix the I️ bug it’s driving me crazy!,keyboard_input_issue,False,,True
Pior coisa q eu fiz na vida foi tee atualizado meu celular pro ios 11. @115858 @AppleSupport by the grace of god help me,ios_update_issue,False,,True
"@AppleSupport how do we clear history in maps on iOS 11.1.1? old house location keeps showing up, I swipe left and only get a share button and no remove, help.",app_media_issue,False,,True
@AppleSupport Yes updated the latest version.but still the same,ios_update_issue,False,,True
Fix this shit now 😡😡😡 @115858. I didn’t pay all this money for a phone to be acting tf up with an “update”.,ios_update_issue,True,Customer reports a serious problem after an update and is highly dissatisfied.,True
my phone has been acting up ever since i updated it smh @115858 you better quit playin,ios_update_issue,False,,True
@115858 love when all the convenience of the iPad Pro for art is killed in one update #iOS11sucks,ios_update_issue,False,,True
my headphones broke AGAIN @AppleSupport i won’t be a victim,hardware_device_issue,True,Headphones have broken again and may require human support or replacement.,True
hello you like stole $20 from me by taking away my purchases and not letting me play them. fix it thank yew! @AppleSupport https://t.co/rAQwFrDWtG,account_purchase_issue,True,Customer reports missing purchased content and a possible payment issue requiring account or purchase investigation.,True
"@AppleSupport that itunes performance on windows is horrible... i don't bought apple music to wait 1 min while opening itunes... 
 1/2",app_media_issue,False,,True
.@AppleSupport What’s the problem with #battery percentage in #iOS11 ?,battery_issue,False,,True
"@AppleSupport my phone isn’t letting me airdrop, tapping the airdrop button but nothing is happening?",battery_issue,False,,True
"@AppleSupport Watch 4.1, Iphone 11.1..I restarted and re-enabled/disabled notifications via watch app.",app_media_issue,False,,True
@115858 y’all really gotta fix this keyboard glitch,keyboard_input_issue,False,,True
@115858 my mother in law got an email from apple about her Apple ID and I’m not sure if it’s original could you help me I have a screen shot.,keyboard_input_issue,False,,True
@AppleSupport where is the setting to get the podcast app to play the next podcasts continuously? ios11.1,app_media_issue,False,,True
"between @115858 and @115714, my phone and phone service is super janky. 🤧😡",general_support,False,,True
Another update issue I’m finding is when I open the camera I don’t want the live option on. So I’ve gone to setting and turned it off but when I go onto my camera every time I still have to turn it off. @AppleSupport,app_media_issue,False,,True
@AppleSupport i have no verified icloud devices so i can’t verify my phone or computer. help,account_purchase_issue,True,"Customer cannot verify their device through iCloud, which may require account-level support.",True
"@AppleSupport I haven’t tried that , but if I look at them from “photos” they appear blurry and unclear with this “!” At the side",app_media_issue,False,,True
@AppleSupport I am having issue with my MacBook please check your DM,general_support,True,Customer reports an unspecified MacBook issue and asks support to check the DM for details.,True
@AppleSupport is this legitimate? I’ve been receiving voicemails on a landline that there has been a security breach on my Apple devices https://t.co/qJEngsau0e,account_purchase_issue,True,Customer reports a possible security breach involving Apple devices and requires human investigation.,True
@115858 I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ really wish you would fix this bug.,general_support,False,,True
"You can never ever turn off the WiFi in iOS 11, I just want to save battery when I’m outside and sure that no available WiFi to connect.  Why so stupid... I think I need to buy a new Android device. 🤮@115858",ios_update_issue,False,,True
"@AppleSupport thanks for the new update,my phone now freezes all the time,if your playing you tube the video freezes and the phone jams.",ios_update_issue,False,,True
"@115858 Now my phone is slow, wont connect to wifi, kicks me out of my apps, &amp; freezes but you want to tell me that this has nothing to do with dropping the new phone?  i just got this IPhone 7 a few months ago, people won’t go to your products if you continue messing with them.",ios_update_issue,True,"Multiple device and software problems are reported, including freezing and Wi-Fi connectivity issues, requiring further troubleshooting.",True
@AppleSupport 11.1.1,general_support,False,,True
@AppleSupport iPhone X order reservation not found. Spent 1.5 hours w/ 800-MY-APPLE. Unable to resolve. Deadline 3pm E.😟 No phone for me?,account_purchase_issue,False,,True
"@AppleSupport @AppleSupport Yes, I am. And yes, I am.",general_support,False,,True
"@AppleSupport y’all need to fix iOS 11 cause my phone keep freezing and starting over, and I can’t even talk on the phone...",ios_update_issue,True,"The phone repeatedly freezes and restarts after the iOS 11 update, requiring further troubleshooting.",True
what the hell is wrong with apple music now??! someone enlighten me @AppleSupport 😭 https://t.co/q4MfxN1vll,app_media_issue,False,,True
"@513568 @AppleSupport 

Please help when updating the latest 
version I got the apple logo problem
!! The device hung
 
 .. I want a solution",ios_update_issue,True,Device is hanging with the Apple logo after a software update and may require human troubleshooting.,True
"@AppleSupport Sorry. Gotta have dinner, so I’m going to be gone for a while. I hope someone is there later! Thanks!",general_support,False,,True
@115858 after downloading #iOS 11.1 my #iPhone6S is showing issues in 3D touch. Anyone of you also facing such issues? #iPhoneX,ios_update_issue,False,,True
"@AppleSupport I have to manually change the default app (cmd+i) and apply to all. and then it's ok. until I shut down and turn on the beast, and then… back to the other default app. It also happen sometimes without restart… but it's harder to quantify the situation then.",app_media_issue,False,,True
This new software update has my iPhone going crazy @115858 fix this,ios_update_issue,False,,True
This @115858 iOS 11 update has been nothing but bugs. Please fix before I️ switch to @117159,ios_update_issue,True,Customer reports repeated bugs after the iOS 11 update and threatens to leave Apple products.,True
@AppleSupport fix this  auto correct when I type “I️” ..,keyboard_input_issue,False,,True
alright na @AppleSupport @115858 this shit getting outta hand i️ thought it was just on the upper case i not the lower case too😤,keyboard_input_issue,False,,True
@AppleSupport...DL’ed 11.2 on iPhone 8 Plus and X...but no Apple Cash Option in settings??? #help #whereisit,ios_update_issue,False,,True
"It's crazy how I haven't had an iPhone charger last more than month, 
Do better @115858",hardware_device_issue,True,The charger repeatedly breaks and may require replacement or human support.,True
@AppleSupport how long does it take for u ups to refund paypal from canceled order,account_purchase_issue,True,Customer is asking about a refund for a canceled purchase and may require account/payment investigation,True
"@115858  what the fuck is wrong with your new ios, i slept with my phone battery percent at 45% and when i woke up it was 6% 😡😡😠",battery_issue,False,,True
@116333 I am a loyal Apple user since 2003 &amp; for the very first time I am un-impressed &amp; disappointed of my new iPhone8 😔 I should have stayed with the 7,general_support,False,,True
@AppleSupport I’m a new addition to the list of people with battery drain and periodic unresponsive iPhone since update. Can u help?,battery_issue,False,,True
I’m so over this damn A and ?  crap @115858 get this handled man.,keyboard_input_issue,False,,True
@115858 do you know why this could be and how to fix it? (2/2),general_support,False,,True
@116333 orientation bug #ios1102 @115858 @AppleSupport fix these bugs or give me #ios10 https://t.co/EswOWj0pu6,ios_update_issue,False,,True
@AppleSupport looks like the email unsubscribe feature in ios11 isn’t working. Still keep getting emails,ios_update_issue,False,,True
"Dear @115858 
@AppleSupport 
After testing the faceID for some time, I have a suggestion.
Add an extra layer of security feature, which requires blinking before the device unlocks.
This feature will tackle two issues:
1- sleeping 
2- masking manikins
Thanx",general_support,False,,True
@AppleSupport  https://t.co/YYwTJgivzQ,general_support,False,,True
