customer_tweet_id,created_at,customer_text,brand_reply_id,brand_reply
1864163,Fri Oct 20 09:20:39 +0000 2017,@AppleSupport ever since I updated my phone it freezes and restarts itself like 7 times a day and my echo text doesn’t even work! ☹️,1864162,@556960 We'd love to gather more details about these issues since updating. Meet us over in DM with which model iPhone you have https://t.co/GDrqU22YpT
1676277,Mon Nov 06 05:45:30 +0000 2017,@115858 fix this iOS 11 update!!!,1676276,@509929 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
795266,Thu Oct 12 10:23:39 +0000 2017,"@AppleSupport: #apple cannot Support it’s #MacBookPro battery replacement, it should shut down the whole program to sort it out. Ridiculous!",795262,@309607 We’ve received your DM and will continue working with you there.
1712034,Tue Nov 07 01:22:35 +0000 2017,So is @115858 gonna fix the I️ issue anytime soon or are we just gonna change the dictionary?,1712033,@518581 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
1805155,Wed Oct 18 00:38:42 +0000 2017,@AppleSupport Y’all need to fix this new update!! My 6s+ and my #macbookair have not been working since I updated 😡😤 https://t.co/jWfZgI71v9,1805153,@157365 We'll do what we can to help. DM us the details; we'll take a look both issues together. https://t.co/GDrqU22YpT
616270,Wed Oct 04 21:01:49 +0000 2017,@AppleSupport 64gb 6s Plus -IOS 11.0.1,616272,@266244 We released an update recently for the device. You can update to 11.0.2 and test if it improves your issue.
2784653,Tue Nov 21 17:53:31 +0000 2017,@AppleSupport what do I do if I tired to update my MacBook Pro and it restarted and keeps restarting over and over again? 🙄🤔,2784652,"@777514 We'd be happy to help. Check out the steps in this link and if you still need support, send us a DM: https://t.co/rO42NAGDmI https://t.co/GDrqU22YpT"
1780304,Wed Oct 11 20:17:53 +0000 2017,This @115858 iOS update is awful🙄slows down everything!,1780302,@534871 Thanks for reaching out. We want you to be happy with iOS 11. Let us know in DM what the exact update version you have is. https://t.co/GDrqU22YpT
1674064,Mon Nov 06 04:38:51 +0000 2017,@AppleSupport can u please fix the keyboard thing so eye can type the letter eye?!,1674063,@509372 We’re here for you. Here’s a work around for the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
2369516,Tue Nov 14 01:23:23 +0000 2017,@AppleSupport iOS 11.1.1,2369518,@505256 Let's meet in DM. Can you also provide a screenshot of what happens when you select show less? https://t.co/GDrqU22YpT
691216,Tue Oct 10 17:48:08 +0000 2017,How the fuck is Apple about to not let me change the song on my lock screen 🤔 @115948 @115858,691215,@285169 That's not an issue you should have. Let us know the iOS version running on the iPhone to get started.
152810,Thu Nov 16 16:08:56 +0000 2017,@AppleSupport Help,152809,@150950 We are here to help. DM us the details of your issue and we can take a look at this. https://t.co/GDrqU22YpT
2012382,Sun Nov 05 03:02:18 +0000 2017,#WTF is this?! It’s only been 1.5 days with the #iPhoneX! #problems @115858 https://t.co/svfwruW60w,2012381,@595060 We'd like to look into this with you. Send us a DM including the iOS version installed. We'll continue there. https://t.co/GDrqU22YpT
